Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
curriki.org,0.0013240842,24,11131,4581,2026.00,0
schoolcraftonline.com,0.0013232343,32,10515,1627,1268.00,0
hand2mind.com,0.0013229719,37,32577,31787,20292.00,135
colanguage.com,0.001322827,34,26885,16726,5076.00,0
sciencespot.net,0.0013207752,37,32388,57504,45696.00,0
future-perfect.co.uk,0.0013197263,44,3387,111020,146297.00,0
teachingelawithjoy.com,0.0013179774,33,2641,1758,1272.00,0
stayathomeeducator.com,0.001315608,42,21224,14526,15850.00,0
justaddstudents.com,0.0013155537,38,3363,2830,1527.00,0
freekidsbooks.org,0.0013150711,45,21242,31165,47630.00,0
ucalgary.ca,0.0013142914,66,227140,245561,110615.00,11
bestwordlist.com,0.0013139211,67,38982,238440,23442.00,0
tastefulventure.com,0.0013137313,35,18056,14375,8894.00,0
onlypassionatecuriosity.com,0.001313298,25,6612,3219,7439.00,0
libguides.com,0.0013127074,167,685806,1307099,1801690.00,0
shurley.com,0.0013119176,34,2970,5783,3106.00,0
qmul.ac.uk,0.0013082159,50,102354,46401,27475.00,4
wordagents.com,0.0013081757,28,1777,20393,83258.00,0
grammaropolis.com,0.0013081466,38,1276,2264,5962.00,0
eduvictors.com,0.001306648,35,2416,995,14.00,0
infopop.cc,0.0013054903,47,44532,66437,22251.00,0
wikidiff.com,0.001303185,84,191607,413745,206786.00,0
lwisd.org,0.0013015392,18,6410,55446,90491.00,0
discoveryeducation.com,0.0013014216,47,71845,335627,900139.00,0
eurocentres.com,0.0013012876,40,19350,14192,1713.00,68
colostate.edu,0.0013004385,137,812868,1353532,4678727.00,358
maysville.k12.oh.us,0.00129915,31,1549,4327,1499.00,0
teachengineering.org,0.0012983085,58,154332,105383,85565.00,0
redwing.k12.mn.us,0.0012977595,29,5085,6841,953.00,0
sjsd.k12.mo.us,0.0012957451,43,25623,37567,52019.00,0
speechbuddy.com,0.0012955046,31,11069,7851,11630.00,8
uit.no,0.0012937328,43,41910,28119,28232.00,0
ivcc.edu,0.0012927467,40,13124,14812,127282.00,0
milfordschooldistrict.org,0.0012917724,23,3843,10583,10837.00,0
raz-kids.com,0.0012894055,37,26874,610876,955067.00,0
usatestprep.com,0.0012884946,37,14837,606811,3381250.00,0
thatboycanteach.co.uk,0.0012884184,29,681,173,124.00,0
shakespeare-online.com,0.001287685,44,53696,161608,75312.00,0
nsw.gov.au,0.0012859519,193,1045716,771324,282861.00,62
pressbooks.com,0.0012856928,39,65568,34343,39715.00,0
dayofreading.org,0.0012854114,29,1176,553,308.00,0
fun-a-day.com,0.0012852952,52,43600,33075,22480.00,0
theenglishisland.com,0.001280875,23,2101,996,93.00,0
tyrone.k12.pa.us,0.0012792771,20,10824,8210,3308.00,0
thefirstgradefairytales.blogspot.com,0.0012784577,31,665,101,16.00,0
fieldlocalschools.org,0.0012754287,29,7400,11020,2743.00,0
gradesaver.com,0.0012750882,139,473925,850855,279165.00,0
screenlifer.com,0.0012749449,29,566895,3414,2220.00,0
coachingmind.me,0.0012739735,27,18504,1043,171.00,0
vocabulix.com,0.00127303,59,44955,214462,56974.00,0
coolmompicks.com,0.0012705254,40,99721,45641,34409.00,0
risingstars-uk.com,0.0012699794,30,3418,1725,65.00,0
passporttoenglish.com,0.0012678654,29,3268,1479,624.00,0
gmu.edu,0.0012672017,102,462329,1013961,1601760.00,7
universityacademy.org,0.0012670637,21,6794,8415,33937.00,0
forsyth.k12.ga.us,0.0012643613,35,43739,147629,97717.00,0
eslbuzz.com,0.0012637243,30,7754,4375,1099.00,0
brainyquote.com,0.0012633727,217,940757,6721230,6834378.00,20
nfer.ac.uk,0.0012627639,31,6259,1220,133.00,0
freeprintablestationery.net,0.0012621077,38,1904,6573,3969.00,0
teachingtreasures.com.au,0.0012615431,26,1589,1672,490.00,0
simplicable.com,0.0012610789,50,68176,245317,434548.00,0
manhattan114.org,0.0012610302,27,1427,1708,639.00,0
brainly.ph,0.0012606713,45,37740,61433,7861.00,0
occc.edu,0.0012596641,44,59011,157804,727398.00,0
schoolzone.com,0.0012584814,33,9326,12016,7102.00,18
adams12.org,0.0012577988,37,28682,124260,126037.00,0
uow.edu.au,0.0012573375,58,131415,41557,19242.00,4
loma.k12.ca.us,0.0012572778,36,2370,2168,2644.00,0
scsk12.org,0.0012553157,33,42525,183025,219243.00,0
123kidsfun.com,0.0012541648,34,2730,4032,3318.00,0
bookroo.com,0.0012541551,38,82116,95593,35089.00,0
studymoose.com,0.0012488307,72,158537,101050,20335.00,0
writinga-z.com,0.0012486761,34,2505,3175,5049.00,0
123listening.com,0.0012480947,31,2595,600,35.00,0
educationcity.com,0.0012478235,27,5935,10210,24122.00,0
dcs.k12.oh.us,0.0012447197,27,11696,18600,4403.00,0
cambriansd.org,0.0012445722,23,5226,8818,8368.00,0
kizclub.com,0.0012438635,35,4126,3470,1373.00,0
k12courses.com,0.0012423418,14,3695,12792,59588.00,26
chagrinschools.org,0.0012416,20,5942,6299,3097.00,0
tunstallsteachingtidbits.com,0.0012405543,34,8556,2645,884.00,0
easyscienceforkids.com,0.0012392317,43,56290,58381,56970.00,0
smartfirstgraders.com,0.0012383,29,2223,894,650.00,0
painintheenglish.com,0.0012378171,42,39140,140627,77370.00,0
upwritepress.com,0.0012375861,38,3143,3186,1770.00,0
american-dyslexia-association.com,0.0012360582,27,407,109,45.00,0
discoveringjustice.org,0.0012358273,25,1060,773,97.00,0
waynecc.edu,0.0012350676,28,12580,26256,127676.00,0
lutherrice.edu,0.0012345556,21,2302,4042,12142.00,20
opentextbooks.org.hk,0.001234421,34,52617,32928,17548.00,0
extramarks.com,0.0012343258,32,7563,3775,23.00,2
gradecam.com,0.0012337157,30,5736,27718,12360.00,0
writingwithsharonwatson.com,0.0012334331,35,2265,1170,595.00,0
pearsoned.com,0.0012309479,37,40735,196072,342764.00,0
cacmp.org,0.0012304898,21,5303,6083,8791.00,0
primarythemepark.com,0.0012303994,32,2497,1678,210.00,0
uark.edu,0.0012292451,54,266678,578473,701898.00,21
astate.edu,0.0012287914,45,90636,186535,617677.00,0
viawriting.com,0.0012270986,39,950,37355,5952.00,0
whenwewordsearch.com,0.0012270665,29,4008,8503,3142.00,0
kirstenskaboodle.com,0.0012266984,21,2157,881,353.00,0
dscl.org,0.0012256749,29,3496,2627,4831.00,0
haywood.k12.nc.us,0.001223027,7,7676,19520,23205.00,0
examenglish.com,0.0012216386,42,26674,114854,176047.00,4
inmyworld.com.au,0.0012216048,36,1999,562,406.00,0
readingelephant.com,0.0012196417,35,884,528,814.00,0
spellcheck.net,0.001218031,56,77066,219413,104192.00,0
preschoolu.com,0.0012172065,17,1498,613,269.00,0
twinkl.co.nz,0.0012163542,31,10888,507,16.00,0
beulah.k12.nd.us,0.0012148459,41,3466,2341,76.00,0
fastessay.com,0.0012131034,33,8135,14842,24714.00,0
primarygames.com,0.001212759,62,80124,1211651,1383095.00,0
teachingandtapas.com,0.0012117308,29,1033,63,31.00,0
fountainpennetwork.com,0.0012115454,47,48464,47885,13008.00,0
productiveandpretty.com,0.0012101916,36,3667,5543,1460.00,0
burbank.k12.il.us,0.0012093135,17,4956,9050,4771.00,0
mdek12.org,0.0012090029,33,55539,54574,213492.00,0
memory-improvement-tips.com,0.0012053468,36,44760,220304,183113.00,0
readingeggspress.com,0.001204262,23,1524,32815,94265.00,0
summitlearning.org,0.0012036287,34,46673,81236,18113.00,0
slideshare.net,0.0012034201,1190,8119275,3796197,1661475.00,0
amazingclassroom.com,0.0012033477,20,2801,1362,2224.00,0
jccc.edu,0.0012028224,34,58953,124712,239293.00,16
gcfglobal.org,0.0012025353,92,286699,1591861,1520669.00,14
classroomresourcecenter.com,0.0012023281,31,2604,1529,813.00,12
teachers.net,0.0012015848,39,24179,5108,2896.00,0
americanliterature.com,0.001200535,36,43390,184220,170425.00,0
pinterest.com,0.0011994031,25017,80813317,172217311,71064923.00,11353
scarsdaleschools.k12.ny.us,0.0011977573,31,38598,44568,80339.00,0
wiseoldsayings.com,0.0011973525,107,243489,1725350,1306481.00,0
readingteacherstoptentools.com,0.0011967046,27,451,337,62.00,0
miniminijewels.com,0.0011960027,24,2283,1667,2759.00,0
cwidaho.cc,0.0011957646,20,9703,17139,12147.00,0
foresttrailacademy.com,0.0011945431,32,10393,15808,94651.00,0
mathauditor.com,0.0011944612,37,20252,103090,13374.00,0
wonderopolis.org,0.0011934125,75,402579,958382,603382.00,0
westerville.k12.oh.us,0.0011933076,28,31264,57228,59813.00,0
russianforeveryone.com,0.0011908599,27,6984,15836,11303.00,0
hfhighschool.org,0.0011902298,16,6039,15936,14501.00,0
wabisabilearning.com,0.0011886504,43,31344,45178,67385.00,0
ck12.org,0.0011872349,106,472336,834167,379845.00,819
homeschoolon.com,0.001186676,30,12992,13176,18689.00,0
freelyhomeschool.com,0.0011863922,14,1340,390,710.00,0
diymfa.com,0.001183859,43,8899,7581,3944.00,0
wisdomquotes.com,0.0011834663,71,146335,638600,1037353.00,0
sbsd.k12.ca.us,0.0011834371,33,6939,14562,25405.00,0
dukeofdefinition.com,0.001183115,27,4421,5283,586.00,0
lakeforestlakers.com,0.0011826606,33,964,1955,105.00,0
sweetforkindergarten.com,0.001182492,22,1173,331,130.00,0
roanestate.edu,0.0011814296,41,41192,85255,194735.00,0
e4thai.com,0.0011805628,28,6933,8096,2352.00,0
arkansased.gov,0.0011804135,32,23158,6724,9702.00,0
thehappyhousewife.com,0.0011801757,26,17657,10748,14897.00,0
authority.pub,0.0011773466,21,4483,9116,26480.00,0
literacyta.com,0.0011767169,31,2861,820,189.00,0
mocomi.com,0.0011762184,28,13025,6784,2301.00,0
publishing.service.gov.uk,0.001175949,64,435721,113643,29391.00,0
boompositive.com,0.0011758886,38,15304,79883,5162.00,0
sonlight.com,0.0011753085,34,31093,38073,42437.00,30
psd202.org,0.0011740833,33,55804,120352,74670.00,0
nosweatshakespeare.com,0.0011738074,44,66456,207877,123975.00,0
bartleby.com,0.0011734415,187,1467383,927825,395436.00,187
samsonsclassroom.com,0.0011724051,36,348,3110,3149.00,0
worldbook.com,0.0011715152,31,13017,29259,34080.00,30
spwickstrom.com,0.0011714393,32,5707,13424,5502.00,0
mydigitalchalkboard.org,0.0011708505,37,14087,8264,15728.00,0
printableworksheets.in,0.0011697283,31,4009,1474,52.00,0
carlamathers.net,0.0011679229,31,785,335,137.00,0
quotabulary.com,0.0011672261,46,39887,113262,52830.00,0
educationnorthwest.org,0.0011671751,37,16986,8679,13675.00,0
businesswritingblog.com,0.001167023,38,44121,91562,63969.00,0
gmsdk12.org,0.0011665607,32,23460,39360,53624.00,0
copywriter-editor.com,0.001166188,19,813,310,108.00,0
florida4h.org,0.0011657429,40,12988,8482,8191.00,0
do2learn.com,0.0011654177,31,6022,5423,2464.00,0
hcjcany.org,0.0011638224,23,1692,1128,91.00,0
stackexchange.com,0.0011634221,1670,10190850,12629111,5982916.00,0
realfastspanish.com,0.0011624529,42,40198,84459,14803.00,0
saultschools.org,0.0011620113,25,5758,4844,4460.00,0
mathinenglish.com,0.0011592488,38,18059,9649,4652.00,0
iwriteessays.com,0.0011588894,36,11115,11503,8251.00,0
caberfaepeaks.com,0.0011587896,32,100497,58896,65342.00,5
b-g.k12.ky.us,0.0011584128,28,12059,18793,23527.00,0
antimoon.com,0.0011548096,48,64940,84556,58221.00,0
smc.edu,0.0011545289,48,100853,306648,877785.00,0
engoo.com,0.0011518681,33,9643,2560,1584.00,0
3boysandadog.com,0.001151704,25,8540,2774,1207.00,0
natureofwriting.com,0.0011516776,33,5075,2400,3311.00,0
thelittleladybugshop.com,0.0011491998,23,1491,269,192.00,0
theessayclub.com,0.0011485374,39,9443,9802,8847.00,0
graphicgarden.com,0.0011485298,32,878,856,830.00,0
firstgradenest.com,0.0011467856,30,423,100,9.00,0
nbcsd.org,0.0011467165,21,4225,3237,960.00,0
foundalis.com,0.0011464368,32,5629,5314,3429.00,0
svsd410.org,0.0011440216,30,14898,31623,15255.00,0
transparent.com,0.0011437275,62,212024,413751,230725.00,0
qqeng.com,0.0011424316,21,2009,680,55.00,0
printstationary.net,0.0011413703,29,989,392,252.00,0
winonaisd.org,0.0011412671,31,2579,2437,499.00,0
5thgradespelling.com,0.001141039,61,348,631,924.00,0
homeofbob.com,0.0011407853,31,16196,10482,1892.00,0
yumpu.com,0.0011393625,68,940274,102967,72324.00,19
newmarklearning.com,0.0011386715,22,1872,977,446.00,0
wayne.k12.ms.us,0.0011386635,18,5759,9694,1912.00,0
phonicshero.com,0.0011360901,28,3269,2302,1337.00,0
mathgametime.com,0.0011351297,40,20852,91635,114970.00,0
blaineschools.org,0.001134592,29,7568,11485,1950.00,0
philosophypages.com,0.0011340881,33,9885,39592,25203.00,0
mommyspeechtherapy.com,0.0011323659,37,9657,34483,31748.00,0
self-pub.net,0.0011320991,32,3541,1646,2646.00,0
newtimes.co.rw,0.0011312747,42,102868,49000,28090.00,0
communityreading.org,0.0011303441,27,476,374,143.00,0
wearenorwood.org,0.0011289861,25,2031,1115,1163.00,0
spxelementary.com,0.0011289243,23,4525,3565,1057.00,0
nautil.us,0.0011284688,40,179989,131362,156246.00,0
teachingideas4u.com,0.0011246696,33,1450,436,107.00,0
augusta.k12.ky.us,0.0011240449,32,695,665,140.00,0
tutors.com,0.0011232711,39,33377,266479,686274.00,0
comprehensionconnection.net,0.0011226276,30,1250,353,50.00,0
prolinguaassociates.com,0.0011217991,28,2973,821,437.00,0
testprep-online.com,0.0011216806,39,20051,58441,86168.00,22
ntschools.org,0.0011213347,23,14356,15719,6998.00,0
earlychildhoodteacher.org,0.0011210822,33,25301,13415,79817.00,0
rand.org,0.0011208549,51,426447,282698,362777.00,0
discoveryk12.com,0.0011191551,13,2067,14854,77472.00,0
busybeekidscrafts.com,0.0011182623,27,4450,2889,901.00,0
kindergartenkindergarten.com,0.0011176672,37,10092,7675,9910.00,0
cityschoolsteachers.net,0.0011171304,31,822,482,423.00,0
poemhunter.com,0.0011159856,74,148795,431035,254092.00,0
adelaide.edu.au,0.0011157442,48,212586,189138,146119.00,1
teachmama.com,0.0011147031,38,26085,24342,21969.00,0
privatewriting.com,0.0011122486,32,14954,9502,9584.00,0
topperlearning.com,0.0011114139,51,134528,59652,2549.00,0
nederland.k12.tx.us,0.0011113656,29,13715,20263,24718.00,0
ksde.org,0.0011088809,35,64512,32182,36879.00,0
coloring.ws,0.0011074636,43,32909,422797,265793.00,0
upub.net,0.0011072463,28,1500,8257,1249.00,0
cdl.org,0.0011061791,30,9197,8592,2146.00,0
poetscollective.org,0.0011054341,34,2579,5213,1328.00,0
maywoodtigers.org,0.001104079,32,958,935,281.00,0
englishstudypage.com,0.0011038702,40,7482,8000,1920.00,0
kidspressmagazine.com,0.0011018744,28,3895,1117,470.00,0
whiteplainspublicschools.org,0.0011011069,30,37997,41872,43801.00,0
englishlessonsbrighton.co.uk,0.0011005669,32,6472,5442,1709.00,0
uniontwpschool.org,0.0011001533,20,2357,1568,69.00,0
notimeforflashcards.com,0.0010991412,40,64926,49598,35226.00,0
pantherrun.com,0.0010990099,20,542,632,419.00,0
funearlylearning.com,0.0010988549,21,1348,207,73.00,0
adabofgluewilldo.com,0.001098496,32,16718,10098,3333.00,0
henry4school.fr,0.0010978106,22,4006,625,15.00,0
copyandcheck.com,0.0010934928,26,1808,446,245.00,0
oaklandschoolsliteracy.org,0.0010934358,23,4036,798,1017.00,0
cltprep.com,0.001092876,29,245,90,20.00,0
math-only-math.com,0.0010917267,57,139379,224759,104794.00,0
edenpr.org,0.0010909116,28,10428,26940,17543.00,0
lawlessspanish.com,0.001087535,30,28565,102408,53786.00,0
proedinc.com,0.0010869111,30,15324,31683,21879.00,0
dyslexia-international.org,0.0010862788,23,2470,853,568.00,0
nomistakespublishing.com,0.0010847334,21,677,335,59.00,0
kindermomma.com,0.0010846492,24,981,526,600.00,0
wisc-online.com,0.0010843013,28,25727,20076,11743.00,0
funmaths.com,0.001083521,19,2620,2093,1085.00,0
ipadthinker.com,0.0010834757,20,1446,219,21.00,0
schoolwires.com,0.0010833194,21,5505,2410,2031.00,0
coursehero.com,0.0010831684,527,3920182,2474489,1462890.00,66
jccsskc.edu.hk,0.0010801825,20,968,623,3.00,0
sfx-qas.org,0.0010793176,24,466,319,326.00,0
teaching2and3yearolds.com,0.0010788199,44,47197,86071,93175.00,0
memidex.com,0.0010783342,81,244299,192418,37858.00,0
tong464.org,0.0010776967,16,3181,3862,566.00,0
aclweb.org,0.0010766899,39,134630,30883,22378.00,0
eastgreenwich.k12.nj.us,0.0010747073,28,3364,3198,741.00,0
studychamps.com,0.0010746461,27,425,97,0.00,0
cetking.com,0.0010743277,39,8705,2103,128.00,0
spellweb.com,0.0010729106,42,23458,90498,31985.00,0
letsshareknowledge.com,0.0010716431,23,768,162,62.00,0
acpsk12.org,0.0010714278,19,5531,5324,1434.00,0
kidsfront.com,0.0010710704,29,4540,1714,273.00,0
clarkness.com,0.0010693955,32,3031,4392,6308.00,0
sharingkindergarten.com,0.00106624,27,4929,2307,1262.00,0
knowyourphrase.com,0.0010657903,36,20787,125312,36595.00,0
nlsd122.org,0.0010657602,26,6893,10148,737.00,0
mrswheelerfirst.blogspot.com,0.0010655539,30,486,217,26.00,0
msjordanreads.com,0.0010647308,31,2016,262,36.00,0
lessonpix.com,0.0010638983,35,17763,15316,2705.00,0
markweaklandliteracy.com,0.0010632406,14,962,482,108.00,0
handyhandouts.com,0.0010631959,29,3555,3968,3781.00,0
buffaloschools.org,0.0010622409,34,55504,104768,133419.00,0
dekalb.k12.ga.us,0.001058288,34,47759,181637,121894.00,0
wsd.net,0.001057607,22,15698,96753,84927.00,0
wordtoolbox.com,0.0010572601,32,2602,4141,608.00,0
simpleenglishvideos.com,0.0010570522,24,5143,9813,4304.00,0
pixton.com,0.0010548662,37,12382,24820,44119.00,0
notebookingfairy.com,0.0010548418,25,1012,1285,215.00,0
texthelp.com,0.0010537095,30,26165,18480,28129.00,0
math-and-reading-help-for-kids.org,0.001053647,14,169,128,216.00,0
summithill.org,0.0010535442,31,9753,10843,9909.00,0
essay5w.com,0.0010532005,36,317,145,24.00,0
macmillanthesaurus.com,0.0010531091,59,131151,493597,110479.00,0
wbasd.k12.pa.us,0.0010529015,30,6069,13162,4918.00,0
pyxwise.com,0.0010521365,15,806,284,33.00,0
skiptomylou.org,0.0010509682,41,103579,468900,168250.00,0
askdifference.com,0.0010501484,44,37695,410232,316015.00,0
maloneymethod.com,0.0010492896,21,1363,783,78.00,0
williamwithin.com,0.0010465868,18,5424,156,64.00,0
mrsnthebookbug.blogspot.com,0.0010464097,21,960,348,517.00,0
virtualwritingtutor.com,0.0010457325,30,6433,48192,149323.00,0
handsonaswegrow.com,0.0010447524,46,58893,90183,74916.00,0
cookie.com,0.0010445525,32,7509,13282,16134.00,0
talkofthesound.com,0.0010444412,34,4599,3339,288.00,0
cozyclasscorner.com,0.0010441723,9,144,104,51.00,0
kidspicturedictionary.com,0.0010439235,30,5073,17011,3787.00,0
growingbookbybook.com,0.00104381,30,14716,7928,4442.00,0
scoilnet.ie,0.0010432125,24,16812,4383,442.00,0
freeprintablecertificates.net,0.0010356702,35,5064,12257,9235.00,0
sugarspiceandglitter.com,0.0010347114,29,48006,31809,22347.00,0
odessa.k12.mo.us,0.0010325344,15,263,96,40.00,0
sandiegounified.org,0.0010317786,37,78478,251931,250420.00,0
rcampus.com,0.001031594,30,18163,9845,679.00,7
mseffie.com,0.0010310216,25,12430,10418,3349.00,0
stmelsacademy.org,0.001030497,16,1368,1379,415.00,0
bouncebackparenting.com,0.0010304872,32,35226,46947,34191.00,0
thebutterflyteacher.com,0.0010301684,30,4226,1906,1612.00,0
keystage2literacy.co.uk,0.0010296685,29,1329,853,122.00,0
writingelites.net,0.0010290088,21,1719,2233,1919.00,0
lincoln.ac.nz,0.00102737,20,15496,3998,15158.00,1
3dgeography.co.uk,0.0010270507,35,9886,14362,2671.00,0
lawyerslendahand.org,0.0010258805,20,667,123,9.00,0
worddetector.com,0.0010232638,36,13934,18381,991.00,0
cityu.edu.hk,0.0010226535,35,72813,45516,16001.00,0
ntu.edu.tw,0.0010212153,31,119061,61849,17372.00,4
earlham.edu,0.0010196064,34,44501,42793,121557.00,17
grammarcheckforsentence.com,0.0010178816,19,3261,29576,81438.00,29
theliteracynest.com,0.0010178667,31,4378,2037,975.00,0
scrabblewordfinder.org,0.0010172818,43,28893,1896562,1699273.00,0
gfps.k12.mt.us,0.0010163987,19,9119,16947,22328.00,0
eds-resources.com,0.0010154431,32,8367,2849,1731.00,0
homeschoolcreations.net,0.0010151212,28,9438,3790,2689.00,0
redapplereading.com,0.0010150351,19,2224,1766,2164.00,0
erierise.org,0.0010126086,28,675,731,416.00,0
sentencehouse.com,0.0010116649,33,10929,53543,5342.00,0
nyelvkonyvbolt.hu,0.001011027,30,8914,2362,138.00,0
controlaltachieve.com,0.0010109904,25,15880,8303,6480.00,0
wheaton.edu,0.0010107324,42,64222,86385,70132.00,0
commoncurriculum.com,0.0010098462,24,1805,3324,3452.00,10
uwf.edu,0.0010091538,36,82956,162711,731109.00,32
lockportschools.org,0.0010082374,10,5120,8602,2611.00,0
freefunchristmas.com,0.0010080553,26,5322,43003,43980.00,0
ldatschool.ca,0.0010069314,27,8374,3909,3546.00,0
englishliteracysite.com,0.001006681,27,314,119,15.00,0
bostitchoffice.com,0.0010062333,26,8756,13860,14972.00,2
christianbook.com,0.0010061198,104,407963,687954,315286.00,2059
sealyisd.com,0.0010050676,31,7953,7177,9686.00,0
spanishgrammarlessons.com,0.001004285,23,3976,5661,1526.00,0
enjoy-teaching.com,0.0010034841,27,796,277,34.00,0
lee.k12.nc.us,0.0010023438,29,26846,62757,189776.00,0
speak-read-write.com,0.0010019334,12,1265,597,24.00,0
scasd.org,0.0010016132,25,42792,58196,42686.00,0
capstonepub.com,0.0010008237,38,42683,41463,24013.00,0
smilingcolors.com,0.001000067,22,2822,1469,569.00,0
essaywritersite.com,0.0009996259,34,9000,5619,5986.00,0
reversedictionary.org,0.0009988628,42,132293,122369,35227.00,0
monroe.k12.nj.us,0.0009988187,21,11419,23150,40252.00,0
readingpartners.org,0.0009984389,26,11671,13819,19742.00,18
wednet.edu,0.000997697,53,206306,600300,665995.00,0
doncaster.sch.uk,0.0009957224,21,2183,1155,186.00,0
hart-ransomcharter.com,0.0009955608,28,916,569,287.00,0
eltbase.com,0.0009944341,27,7266,1709,157.00,0
diggypod.com,0.0009939404,34,6317,14306,25567.00,533
flashcardmachine.com,0.0009939137,67,341303,229632,61818.00,0
shakespearestudyguide.com,0.0009936629,31,12823,3168,1508.00,0
urgentessay.net,0.0009933602,26,3748,3181,908.00,0
washington.edu,0.0009928019,274,2323394,2921327,4052437.00,46
matsuk12.us,0.0009924247,27,39848,63279,72071.00,0
pgsd.org,0.0009916488,30,20750,23559,15173.00,0
cvschools.org,0.000991371,25,14729,29210,28259.00,0
mtsac.edu,0.0009909259,34,74462,298015,2160850.00,34
uscsd.k12.pa.us,0.0009896273,18,17717,24369,65252.00,0
lps.org,0.0009889347,27,50538,107444,63838.00,0
hameraypublishing.com,0.0009880473,24,5740,2489,1416.00,9
birdvilleschools.net,0.000987413,27,40678,100042,111845.00,0
echalk.com,0.000987301,27,18743,16412,8803.00,0
cummingsstudyguides.net,0.0009858512,35,32865,31542,9396.00,0
education.ie,0.0009857378,23,27894,10289,881.00,0
readio.info,0.000984333,15,3449,8,3.00,0
gov.yk.ca,0.000983046,22,35246,16818,10584.00,0
cram.com,0.0009823276,75,309025,226228,123255.00,0
macroevolution.net,0.0009805927,38,29370,91945,58618.00,0
grantspass.k12.or.us,0.000979999,22,13179,17552,12556.00,0
words-to-use.com,0.0009798842,29,12198,25847,4703.00,0
laflemm.com,0.0009790836,25,1228,917,56.00,0
janbrett.com,0.0009788661,24,10238,30830,6663.00,0
fandom-grammar.livejournal.com,0.0009786105,22,2498,4115,494.00,0
hintsandthings.co.uk,0.0009786049,27,30900,11344,3210.00,0
hebrew4christians.com,0.0009769183,28,35134,76461,70832.00,0
3rdgradethoughts.com,0.0009767723,21,1843,588,112.00,0
mrbarham.com,0.0009763755,29,490,192,22.00,0
smartalec.com,0.0009751435,20,1484,2748,3311.00,0
eduprintables.com,0.0009743441,23,359,73,2.00,0
studyres.com,0.000973827,31,81074,30196,12321.00,0
sdcoe.net,0.0009731902,32,31911,40094,76126.00,0
goleta.k12.ca.us,0.0009729906,22,4498,5146,10234.00,0
rocketlanguages.com,0.00097272877,66,179479,1133213,1114041.00,34
johnkerl.org,0.0009724592,27,5088,1824,1644.00,0
goguardian.com,0.00097220717,23,15493,37157,55248.00,375
totootwo.com,0.00097015244,35,119,993,22.00,0
thesaurus.plus,0.00097008457,56,91820,174064,87805.00,0
thejohnfox.com,0.0009698193,33,32223,70193,166424.00,0
fueleducation.com,0.0009682495,18,5923,18900,46970.00,0
acpsd.net,0.00096543017,24,34611,60834,41555.00,0
preschoolactivities.us,0.00096406165,25,6152,428,50.00,0
rbsesolutions.com,0.0009621479,20,5431,800,38.00,0
teacher-of-english.com,0.0009619136,26,1517,335,453.00,0
kumonbooks.com,0.000961412,25,4669,13595,15977.00,0
eslholidaylessons.com,0.00096140377,21,4076,839,183.00,0
kidspot.com.au,0.0009587668,72,496246,490752,451595.00,0
the-conjugation.com,0.00095872435,45,20040,140040,10692.00,0
mythreereaders.com,0.0009586088,23,1736,556,554.00,0
longmanhomeusa.com,0.0009576637,22,3734,2332,894.00,0
lovelylanguage.com,0.0009571097,24,1797,325,295.00,0
thesuburbanmom.com,0.0009554267,24,47267,20250,20760.00,0
hcfalcons.org,0.0009549494,34,1424,4680,118.00,0
teachersandwritersmagazine.org,0.00095472764,25,2264,777,256.00,0
iteslj.org,0.0009536179,32,53333,32803,23585.00,0
mscc.edu,0.00095259096,32,13977,58513,291675.00,0
basiccomposition.com,0.00095252815,22,3262,7186,211.00,0
bookclubofwashington.org,0.00095175585,21,16626,388,660.00,0
lubbockisd.org,0.00095033227,17,14326,160010,247568.00,0
spanish.cl,0.0009494454,25,30456,79485,22514.00,0
universalschool.org,0.00094823353,32,1258,2333,97.00,0
writingcastle.net,0.0009472804,27,539,193,54.00,0
studiobinder.com,0.00094664417,50,91731,244973,382395.00,0
findwords.info,0.00094623555,106,418539,599639,167444.00,0
easyenglishvocabulary.com,0.00094347517,34,411,1272,90.00,0
texasldcenter.org,0.000943447,25,1650,541,397.00,0
messforless.net,0.00094278774,27,25061,22217,15569.00,0
angrylearnerr.com,0.0009425759,33,2292,1425,270.00,0
scottsboro.org,0.0009419375,22,1956,3591,994.00,0
cdaschools.org,0.0009416729,21,14004,67359,95083.00,0
mentorschools.net,0.0009414169,17,9341,18497,54655.00,0
monm.edu,0.0009413584,17,11451,10279,12485.00,0
sentencechecker.org,0.00094114395,25,4213,8391,14064.00,0
eslus.com,0.00094079145,30,5294,4261,1856.00,0
publicspeakingresources.com,0.0009384802,35,3487,7318,11363.00,0
xyzio.com,0.0009383489,14,455,50,15.00,0
kidactivities.net,0.0009379436,39,90394,170613,209093.00,0
linedpaper.net,0.0009377913,35,213,48,23.00,0
freewordsearches.net,0.0009367229,21,2269,5387,3323.00,0
vinton.k12.oh.us,0.0009367128,25,2498,3231,1962.00,0
mobymax.com,0.00093506,22,10625,1205548,3631688.00,0
pspb.org,0.0009349263,33,1220,704,202.00,0
australiancurriculumlessons.com.au,0.0009345672,19,4943,697,6.00,0
rtsd26.org,0.00093347527,19,2178,2996,1054.00,0
richmond.k12.nc.us,0.00093315763,13,13153,13739,5102.00,0
mrsbeers.com,0.00093298,28,3564,1283,765.00,0
onceuponapicture.co.uk,0.0009328357,23,1072,796,180.00,0
